date,num_search,stock_price,NC Soft: (¥Î«—πŒ±π),±Ë≈√¡¯: (¥Î«—πŒ±π),3N: (¥Î«—πŒ±π)
2021-03-21,38,932000,7,45,7
2021-03-28,39,834000,15,30,8
2021-04-04,36,885000,2,15,2
2021-04-11,31,906000,7,22,12
2021-04-18,32,894000,3,10,20
2021-04-25,27,861000,7,2,10
2021-05-02,27,820000,5,3,3
2021-05-09,26,850000,12,7,15
2021-05-16,29,823000,5,10,10
2021-05-23,26,856000,2,17,7
2021-05-30,29,854000,2,10,12
2021-06-06,30,858000,10,2,15
2021-06-13,31,848000,5,7,10
2021-06-20,37,825000,0,13,5
2021-06-27,34,820000,3,13,3
2021-07-04,40,834000,3,10,5
2021-07-11,29,778000,7,31,7
2021-07-18,27,809000,8,16,10
2021-07-25,25,809000,3,8,0
2021-08-01,24,812000,16,18,8
2021-08-08,31,790000,3,18,21
2021-08-15,35,853000,0,15,8
2021-08-22,38,709000,29,47,15
2021-08-29,34,633000,15,79,10
2021-09-05,30,611000,11,35,8
2021-09-12,31,589000,13,97,13
2021-09-19,31,571000,0,49,9
2021-09-26,33,571000,16,30,11
2021-10-03,33,560000,8,33,5
2021-10-10,30,582000,5,8,3
2021-10-17,30,619000,8,5,14
2021-10-24,33,621000,6,11,8
2021-10-31,100,595000,6,64,11
2021-11-07,79,786000,14,14,5
2021-11-14,70,760000,5,16,3
2021-11-21,61,700000,11,14,8
2021-11-28,50,690000,3,8,11
2021-12-05,47,737000,0,3,3
2021-12-12,38,680000,0,8,8
2021-12-19,48,656000,3,8,11
2021-12-26,44,643000,0,0,3
2022-01-02,39,606000,0,8,6
2022-01-09,39,583000,0,8,5
2022-01-16,32,565000,0,3,3
2022-01-23,35,567000,3,5,5
2022-01-30,33,536000,0,3,6
2022-02-06,33,540000,3,14,8
2022-02-13,35,510000,8,5,3
2022-02-20,33,492500,3,13,8
2022-02-27,31,463500,0,100,8
2022-03-06,34,459500,5,13,16
2022-03-13,26,452000,0,6,6
